danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.707,0.5,1,-5.78,1,0.0296,0.895,4e-05,0.234,0.583,129.97,audio_features,2e1gUS6Wv8GS8ZT6FMeE1J,spotify:track:2e1gUS6Wv8GS8ZT6FMeE1J,https://api.spotify.com/v1/tracks/2e1gUS6Wv8GS8ZT6FMeE1J,https://api.spotify.com/v1/audio-analysis/2e1gUS6Wv8GS8ZT6FMeE1J,161561,4
0.696,0.547,6,-5.088,1,0.0401,0.695,0,0.0985,0.423,90.03,audio_features,4McP7SOTK2NWkydOcDCajC,spotify:track:4McP7SOTK2NWkydOcDCajC,https://api.spotify.com/v1/tracks/4McP7SOTK2NWkydOcDCajC,https://api.spotify.com/v1/audio-analysis/4McP7SOTK2NWkydOcDCajC,232476,4
0.602,0.819,6,-4.991,1,0.0317,0.476,3.4e-06,0.098,0.872,184.069,audio_features,0kEXWokTVYKFxRnNH1xvlg,spotify:track:0kEXWokTVYKFxRnNH1xvlg,https://api.spotify.com/v1/tracks/0kEXWokTVYKFxRnNH1xvlg,https://api.spotify.com/v1/audio-analysis/0kEXWokTVYKFxRnNH1xvlg,134222,4
0.699,0.738,0,-7.487,1,0.0259,0.0963,5.42e-05,0.163,0.671,120.001,audio_features,6Pd73yNBtoVpTRM6xLwOGp,spotify:track:6Pd73yNBtoVpTRM6xLwOGp,https://api.spotify.com/v1/tracks/6Pd73yNBtoVpTRM6xLwOGp,https://api.spotify.com/v1/audio-analysis/6Pd73yNBtoVpTRM6xLwOGp,339870,4
0.404,0.832,1,-2.87,1,0.0541,0.0032,0,0.0805,0.603,172.98,audio_features,12fFNgW4IoYQdRCfqCPk9d,spotify:track:12fFNgW4IoYQdRCfqCPk9d,https://api.spotify.com/v1/tracks/12fFNgW4IoYQdRCfqCPk9d,https://api.spotify.com/v1/audio-analysis/12fFNgW4IoYQdRCfqCPk9d,244338,4
0.651,0.913,9,-5.667,0,0.0384,0.0437,0.00133,0.311,0.736,120.028,audio_features,32H7fwKsaYtSl6qiXFI6I6,spotify:track:32H7fwKsaYtSl6qiXFI6I6,https://api.spotify.com/v1/tracks/32H7fwKsaYtSl6qiXFI6I6,https://api.spotify.com/v1/audio-analysis/32H7fwKsaYtSl6qiXFI6I6,187267,4
0.63,0.538,6,-7.059,1,0.0318,0.0871,0,0.0952,0.238,98.012,audio_features,12ZIRTS8x9RBgasDg3q27J,spotify:track:12ZIRTS8x9RBgasDg3q27J,https://api.spotify.com/v1/tracks/12ZIRTS8x9RBgasDg3q27J,https://api.spotify.com/v1/audio-analysis/12ZIRTS8x9RBgasDg3q27J,238667,4
0.318,0.902,1,-4.605,1,0.131,0.0116,0,0.393,0.437,199.844,audio_features,3IDF7N86lrcWaJEt9C1gbS,spotify:track:3IDF7N86lrcWaJEt9C1gbS,https://api.spotify.com/v1/tracks/3IDF7N86lrcWaJEt9C1gbS,https://api.spotify.com/v1/audio-analysis/3IDF7N86lrcWaJEt9C1gbS,240285,4
0.648,0.679,5,-3.959,1,0.0361,0.036,5.46e-06,0.127,0.484,118.67,audio_features,2FHexlZenTsS3lsjUYHiDx,spotify:track:2FHexlZenTsS3lsjUYHiDx,https://api.spotify.com/v1/tracks/2FHexlZenTsS3lsjUYHiDx,https://api.spotify.com/v1/audio-analysis/2FHexlZenTsS3lsjUYHiDx,240067,4
0.661,0.446,4,-6.808,1,0.046,0.696,0,0.0761,0.46,89.961,audio_features,53maoOKr6j04iqk6qjdvQN,spotify:track:53maoOKr6j04iqk6qjdvQN,https://api.spotify.com/v1/tracks/53maoOKr6j04iqk6qjdvQN,https://api.spotify.com/v1/audio-analysis/53maoOKr6j04iqk6qjdvQN,240120,4
0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041,audio_features,3dPtXHP0oXQ4HCWHsOA9js,spotify:track:3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/tracks/3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/audio-analysis/3dPtXHP0oXQ4HCWHsOA9js,261013,4
0.638,0.815,6,-5.99,1,0.0364,0.148,0.000713,0.28,0.749,99.998,audio_features,7rX3Gw6nyUuMjiZqe5jyr5,spotify:track:7rX3Gw6nyUuMjiZqe5jyr5,https://api.spotify.com/v1/tracks/7rX3Gw6nyUuMjiZqe5jyr5,https://api.spotify.com/v1/audio-analysis/7rX3Gw6nyUuMjiZqe5jyr5,269613,4
0.856,0.352,3,-6.9,1,0.0408,0.816,0,0.0906,0.751,121.776,audio_features,6y7FocfzyzkGLSHQdJVHhq,spotify:track:6y7FocfzyzkGLSHQdJVHhq,https://api.spotify.com/v1/tracks/6y7FocfzyzkGLSHQdJVHhq,https://api.spotify.com/v1/audio-analysis/6y7FocfzyzkGLSHQdJVHhq,252594,4
